dag_id,task_id,task_type,dag_submit_ms,task_ready_ms,scheduled_ms,start_ms,finish_ms,tier,datacenter_id,vm_id,duration_ms,length_mi,proj_edge_sec,proj_cloud_sec,input_bytes,output_bytes,gpu_mem_mb,gpu_util,queue_wait_ms,net_propagation_ms,net_tx_ms,net_total_ms
dag_155022839f4f4a4b,lora_load_a2b980c6,lora_load,198400,198400.00,198400.00,198401.44,209453.07,1,6,0,3680.13,11040,11.040,3.680,961697109,96169710,1834.29,0.58,0.00,-1,-1,0.00
dag_155022839f4f4a4b,vae_encode_54aa9bf0,vae_encode,198400,209453.07,209453.07,209454.52,210512.08,1,6,0,348.76,1046,1.046,0.349,758465544,75846554,1446.66,0.59,0.00,-1,-1,0.00
dag_155022839f4f4a4b,unet_denoise_265a3a95,unet_denoise,198400,210512.08,210512.08,210513.52,214401.16,1,6,0,1292.27,3876,3.876,1.292,3117926442,311792644,5946.97,0.43,0.00,-1,-1,0.00
dag_155022839f4f4a4b,sampler_2daa66e6,sampler,198400,214401.16,214401.16,214402.60,214675.24,1,6,0,87.05,261,0.261,0.087,487198796,48719879,929.26,0.59,0.00,-1,-1,0.00
dag_155022839f4f4a4b,unet_denoise_162a8ee6,unet_denoise,198400,214675.24,214675.24,214676.67,218931.31,1,6,0,1414.66,4243,4.243,1.414,3318870445,331887044,6330.24,0.68,0.00,-1,-1,0.00
dag_155022839f4f4a4b,sampler_fa2c5cc2,sampler,198400,218931.31,218931.31,218932.75,219279.57,1,6,0,80.40,241,0.241,0.080,637824460,63782446,1216.55,0.67,0.00,-1,-1,0.00
dag_c4e115a430fa4905,vae_encode_ddb2bb60,vae_encode,218982,218982.00,218982.00,218983.44,221234.08,1,6,0,499.64,1498,1.498,0.499,983802628,98380262,1876.45,0.85,0.00,-1,-1,0.00
dag_155022839f4f4a4b,unet_denoise_a262379e,unet_denoise,198400,219279.57,219279.57,219281.01,223686.07,1,6,0,978.22,2934,2.934,0.978,4432429418,443242941,8454.19,0.50,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,lora_load_e8e017eb,lora_load,209965,209965.00,209965.00,209966.44,223973.57,1,6,0,4116.69,12350,12.350,4.117,1354549290,135454929,2583.60,0.90,0.00,-1,-1,0.00
dag_155022839f4f4a4b,sampler_43bd1a3d,sampler,198400,223686.07,223686.07,223687.51,224066.65,1,6,0,83.46,250,0.250,0.083,423396861,42339686,807.57,0.82,0.00,-1,-1,0.00
dag_c4e115a430fa4905,unet_denoise_6f93f7e6,unet_denoise,218982,221234.08,221234.08,221235.51,224565.65,1,6,0,742.18,2226,2.226,0.742,2082179896,208217989,3971.44,0.67,0.00,-1,-1,0.00
dag_c4e115a430fa4905,sampler_f4dd1a7c,sampler,218982,224565.65,224565.65,224567.09,224824.72,1,6,0,54.82,164,0.164,0.055,716192730,71619273,1366.03,0.73,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,vae_encode_769753b6,vae_encode,209965,223973.57,223973.57,223975.01,225168.65,1,6,0,267.39,802,0.802,0.267,1070068012,107006801,2040.99,0.48,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,unet_denoise_7a803e27,unet_denoise,209965,225168.65,225168.65,225170.09,227326.72,1,6,0,476.94,1430,1.430,0.477,2942960522,294296052,5613.25,0.55,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,sampler_0cbf586a,sampler,209965,227326.72,227326.72,227328.14,227489.12,1,6,0,33.60,100,0.100,0.033,448849526,44884952,856.11,0.92,0.00,-1,-1,0.00
dag_c4e115a430fa4905,unet_denoise_14a33c15,unet_denoise,218982,224824.72,224824.72,224826.16,228433.65,1,6,0,803.73,2411,2.411,0.804,3260987672,326098767,6219.84,0.48,0.00,-1,-1,0.00
dag_c4e115a430fa4905,sampler_9d1a842d,sampler,218982,228433.65,228433.65,228435.09,228691.22,1,6,0,54.35,163,0.163,0.054,281413653,28141365,536.75,0.67,0.00,-1,-1,0.00
dag_155022839f4f4a4b,unet_denoise_527a6df9,unet_denoise,198400,224066.65,224066.65,224068.08,229393.72,1,6,0,1191.41,3574,3.574,1.191,3654734180,365473418,6970.85,0.68,0.00,-1,-1,0.00
dag_155022839f4f4a4b,sampler_23f50e4c,sampler,198400,229393.72,229393.72,229395.16,229790.71,1,6,0,87.91,263,0.263,0.088,443286238,44328623,845.50,0.87,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,unet_denoise_5897bc05,unet_denoise,209965,227489.12,227489.12,227490.54,230094.19,1,6,0,580.80,1742,1.742,0.581,2160901115,216090111,4121.59,0.75,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,sampler_f5a121ba,sampler,209965,230094.19,230094.19,230095.63,230275.26,1,6,0,37.35,112,0.112,0.037,780687521,78068752,1489.04,0.42,0.00,-1,-1,0.00
